,lambda,Res_25um,band,img_quality_col,img_quality_col_2nd_pos,Res,Res_2nd_pos
0,365.0,812.824223322894,u,21.148036253776436,22.65861027190332,960.8743497138496,896.8160597329264
1,366.3673469387755,803.9043494328719,u,21.148036253776436,22.65861027190332,950.3297845081448,886.9744655409354
2,367.734693877551,795.1534429435143,u,21.148036253776436,22.65861027190332,939.9849629082257,877.3192987143441
3,369.1020408163265,786.5668500510452,u,21.148036253776436,22.65861027190332,929.8343834531998,867.8454245563199
4,370.46938775510205,778.1400871269639,u,21.148036253776436,22.65861027190332,919.872745853661,858.5478961300836
5,371.83673469387753,769.8688332935591,u,21.148036253776436,22.65861027190332,910.0949422148859,849.421946067227
6,373.2040816326531,761.748922544047,u,21.148036253776436,22.65861027190332,900.4960477217126,840.4629778735986
7,374.57142857142856,753.7763371182792,u,21.148036253776436,22.65861027190332,891.07131280768,831.6665586205015
8,375.9387755102041,745.9472011046543,u,21.148036253776436,22.65861027190332,881.8161555915734,823.0284118854686
9,377.3061224489796,738.2577738632161,u,21.148036253776436,22.65861027190332,872.7261541025877,814.5444104957486
10,378.6734693877551,730.7044443478992,u,21.148036253776436,22.65861027190332,863.7970395684094,806.2105702638489
11,380.0408163265306,723.2837255763984,u,21.148036253776436,22.65861027190332,855.0246898778138,798.0230438859597
12,381.40816326530614,715.9922493772034,u,21.148036253776436,22.65861027190332,846.4051233709083,789.9781151461812
13,382.7755102040816,708.8267609422862,u,21.148036253776436,22.65861027190332,837.9344923996312,782.0721929063226
14,384.14285714285717,701.7841145807678,u,21.148036253776436,22.65861027190332,829.6090783079791,774.3018064207805
15,385.51020408163265,694.8612690036248,u,21.148036253776436,22.65861027190332,821.4252858578564,766.6636001339995
16,386.8775510204082,688.055282926161,u,21.148036253776436,22.65861027190332,813.3796380305689,759.1543288285311
17,388.2448979591837,681.3633109390129,u,21.148036253776436,22.65861027190332,805.4687711457616,751.7708530693776
18,389.61224489795916,674.7825997813397,u,21.148036253776436,22.65861027190332,797.6894304557981,744.5101350920784
19,390.9795918367347,668.3104845358282,u,21.148036253776436,22.65861027190332,790.0384656477111,737.3692346045304
20,392.3469387755102,661.944384994873,u,21.148036253776436,22.65861027190332,782.5128265475105,730.3453047776766
21,393.7142857142857,655.6818026407374,u,21.148036253776436,22.65861027190332,775.1095595503003,723.4355889136137
22,395.0816326530612,649.520317009955,u,21.148036253776436,22.65861027190332,767.8258033224824,716.6374164343171
23,396.44897959183675,643.4575827446846,u,21.148036253776436,22.65861027190332,760.6587853160379,709.9481996283021
24,397.81632653061223,637.4913272250194,u,21.148036253776436,22.65861027190332,753.6058189695765,703.3654310382715
25,399.18367346938777,631.6193467815434,u,21.148036253776436,22.65861027190332,746.6642992310389,696.886679282303
26,400.55102040816325,625.8395048723027,u,21.264566249460508,22.808434552068555,735.7774166780624,685.9737605441488
27,401.9183673469388,620.1497294177632,u,21.55373327578766,23.180220728774895,719.3066294858615,668.8350131281719
28,403.2857142857143,614.5480099762035,u,21.842900302114803,23.55200690548122,703.3727223448249,652.3308315534468
29,404.6530612244898,609.0323959083242,u,22.132067328441956,23.92379308218756,687.9524479912183,636.4295931419199
30,406.0204081632653,603.6009938896201,u,22.421234354769098,24.295579258893888,673.0238223494946,621.1016698322388
31,407.38775510204084,598.25196585064,u,22.71040138109625,24.667365435600228,658.5660418452738,606.3192757780648
32,408.7551020408163,592.9835270344657,u,22.999568407423393,25.03915161230655,644.5594070833445,592.0563286407624
33,410.1224489795918,587.7939441759411,u,23.288735433750535,25.410937789012877,630.9852523423164,578.2883231783854
34,411.48979591836735,582.6815333522928,u,23.577902460077688,25.782723965719217,617.8258799090529,564.9922154530955
35,412.85714285714283,577.644658477109,u,23.86706948640483,26.154510142425544,605.0644998605162,552.146317529481
36,414.2244897959184,572.6817295384697,u,24.156236512731983,26.52629631913188,592.685173905947,539.7302007870464
37,415.59183673469386,567.7912006423235,u,24.445403539059125,26.898082495838207,580.6727630156531,527.7246070702016
38,416.9591836734694,562.9715693726134,u,24.734570565386278,27.269868672544547,569.0128800542424,516.1113683134605
39,418.3265306122449,558.2213741305882,u,25.02373759171342,27.641654849250873,557.6918436791018,504.873330825304
40,419.6938775510204,553.5391935836413,u,25.312904618040573,28.013441025957214,546.6966374822237,493.99428748393734
41,421.0612244897959,548.9236450817152,u,25.60207164436771,28.385227202663536,536.0148708927572,483.45891435229277
42,422.42857142857144,544.373383086004,u,25.891238670694868,28.75701337936988,525.6347427113982,473.2527122205729
43,423.7959183673469,539.8870982138176,u,26.18040569702201,29.128799556076203,515.5450076497756,463.36195315436396
44,425.16326530612247,535.4635159747046,u,26.469572723349163,29.500585732782543,505.7349447714782,453.77363082292163
45,426.53061224489795,531.1013953265068,u,26.7587397496763,29.87237190948887,496.1943278110954,444.47541438599666
46,427.8979591836735,526.7995279943909,u,27.047906776003458,30.24415808619521,486.91339810236303,435.4556064125041
47,429.265306122449,522.5567373507349,u,27.3370738023306,30.615944262901532,477.8828388228816,426.7031035067046
48,430.63265306122446,518.3718769828181,u,27.62624082865774,30.98773043960786,469.0937505738126,418.2073595169188
49,432.0,848.060875514497,g,27.915407854984892,31.3595166163142,759.4917472816519,676.079358851875
50,434.1326530612245,837.6256361500409,g,28.366422097539928,31.939392071027815,738.2193225407549,655.6368028916322
51,436.265306122449,827.4073782515617,g,28.81743634009495,32.51926752574141,717.800994237258,636.0901099606622
52,438.3979591836735,817.399768341532,g,29.268450582649983,33.09914298045503,698.1918687780467,617.3874115292085
53,440.53061224489795,807.5967170780639,g,29.719464825205,33.67901843516863,679.349983106983,599.4805925183581
54,442.66326530612247,797.9923665432443,g,30.170479067760038,34.258893889882245,661.2360751307834,582.3249643641568
55,444.7959183673469,788.5810814687113,g,30.62149331031506,34.838769344595846,643.8133776472883,565.8789735572528
56,446.92857142857144,779.3574368716398,g,31.072507552870093,35.418644799309455,627.047427332311,550.1039362796531
57,449.0612244897959,770.3162090173288,g,31.523521795425115,35.998520254023056,610.9058927618945,534.9638009990433
