,lambda,T,T_sky,band
0,365.0,0.0040345333084520416,0.0021885146054762424,u
1,366.3673469387755,0.011123832223471243,0.006072007850179114,u
2,367.734693877551,0.018999941216352862,0.010435864594404954,u
3,369.1020408163265,0.02740130304692649,0.01514337026710369,u
4,370.46938775510205,0.04025972661327651,0.02239400582770464,u
5,371.83673469387753,0.06157001846526528,0.03449202094910541,u
6,373.2040816326531,0.0841018495309178,0.047448400762855114,u
7,374.57142857142856,0.10911171369216309,0.06199157515447827,u
8,375.9387755102041,0.1353566131967808,0.07743992450730078,u
9,377.3061224489796,0.16357877744569702,0.09423575683182671,u
10,378.6734693877551,0.19406541312292921,0.11256922873121089,u
11,380.0408163265306,0.22506759651083216,0.13143287259060218,u
12,381.40816326530614,0.25093887106048773,0.1470509980609085,u
13,382.7755102040816,0.27697712577245254,0.16287324371150144,u
14,384.14285714285717,0.3032313511806494,0.17892975095193497,u
15,385.51020408163265,0.32966089580812635,0.19519798525073606,u
16,386.8775510204082,0.3582560300118382,0.21286177797137754,u
17,388.2448979591837,0.3865663704060165,0.2304737036676269,u
18,389.61224489795916,0.41697915602779445,0.24946042723764536,u
19,390.9795918367347,0.43896901811303574,0.2636212940210357,u
20,392.3469387755102,0.45662608504549096,0.2753159011931716,u
21,393.7142857142857,0.47556818926820527,0.287874821222663,u
22,395.0816326530612,0.49567715495896364,0.301235711612629,u
23,396.44897959183675,0.514866050064321,0.3141339361627533,u
24,397.81632653061223,0.5343859592923763,0.32732945059982427,u
25,399.18367346938777,0.5530168885366219,0.3400746739680837,u
26,400.55102040816325,0.572476379929189,0.3533274752641354,u
27,401.9183673469388,0.5879014588057319,0.3640242668329543,u
28,403.2857142857143,0.6025490534503152,0.374301778836484,u
29,404.6530612244898,0.6180673770563392,0.3851826525348863,u
30,406.0204081632653,0.6322038383643301,0.3952639271439984,u
31,407.38775510204084,0.6425745502769146,0.40304215707961566,u
32,408.7551020408163,0.6550896976256864,0.4122136576157701,u
33,410.1224489795918,0.6662239210657055,0.42056661214400204,u
34,411.48979591836735,0.6697249900547333,0.4241381774831912,u
35,412.85714285714283,0.6772509072612042,0.4302833120975014,u
36,414.2244897959184,0.6853891753571528,0.43685162574902603,u
37,415.59183673469386,0.6921539292759227,0.4425771424271365,u
38,416.9591836734694,0.6983517835783621,0.44796892738752586,u
39,418.3265306122449,0.7014748002013316,0.4514096656671886,u
40,419.6938775510204,0.7061542206982607,0.45587026473937925,u
41,421.0612244897959,0.7054322249156582,0.456794466881165,u
42,422.42857142857144,0.7079828648885059,0.45982620658741113,u
43,423.7959183673469,0.7085815449113565,0.4615983870954535,u
44,425.16326530612247,0.7099334351134335,0.4638671266699323,u
45,426.53061224489795,0.7109852173910062,0.46594655965789866,u
46,427.8979591836735,0.7033506424757531,0.46232252965597154,u
47,429.265306122449,0.6645508243156004,0.4381240214894212,u
48,430.63265306122446,0.5284688042918371,0.34941776869926294,u
49,432.0,0.3901184268619181,0.2586628932760632,g
50,434.1326530612245,0.6344455337985465,0.4224925330773455,g
51,436.265306122449,0.6703149291631554,0.44831833249283204,g
52,438.3979591836735,0.6714304674571642,0.4510113462299537,g
53,440.53061224489795,0.6739217152941872,0.45461941872932043,g
54,442.66326530612247,0.6750958312563482,0.45728177479080356,g
55,444.7959183673469,0.6778593303330722,0.4610354057449947,g
56,446.92857142857144,0.6801546639373321,0.46448846162942486,g
57,449.0612244897959,0.6844948758907621,0.4693602761366707,g
58,451.1938775510204,0.6846677595866576,0.471113423680743,g
59,453.3265306122449,0.6873364422509153,0.47437412952895314,g
60,455.4591836734694,0.692035268068217,0.47905338097779226,g
61,457.59183673469386,0.6928958796877576,0.48108936221409904,g
62,459.7244897959184,0.6940271043013462,0.4833195289092473,g
63,461.85714285714283,0.6958152436625837,0.4858975476458438,g
64,463.98979591836735,0.696532193897593,0.4877165953126938,g
65,466.1224489795918,0.6982129046075485,0.490216749055255,g
66,468.2551020408163,0.6976918676890999,0.4911749839054386,g
67,470.38775510204084,0.6961228014897209,0.49138016952024427,g
68,472.5204081632653,0.6993188218170636,0.4948948336978979,g
69,474.6530612244898,0.6995696263932317,0.49633294045767434,g
70,476.7857142857143,0.7003944261653184,0.4981817401377329,g
71,478.9183673469388,0.7004045717223386,0.4994541076268883,g
72,481.05102040816325,0.7014108354525384,0.5013743520539181,g
73,483.18367346938777,0.702837015531275,0.5035322788179459,g
74,485.31632653061223,0.7045252730965273,0.5058841142449537,g
75,487.44897959183675,0.7050291256823548,0.5073901472685121,g
